time,temperature,relative_humidity,dew_point,apparent_temperature,precipitation_probability,rain ,surface_pressure ,cloud_cover ,visibility ,wind_speed,soil_temperature
2024-07-07T07:00,20.4,63,13.1,18.3,0,0.00,899.4,0,24140.00,20.9,21.9
2024-07-07T08:00,21.5,53,11.5,18.3,0,0.00,900.1,26,24140.00,25.1,24.9
2024-07-07T09:00,23.0,45,10.4,19.5,0,0.00,899.9,2,24140.00,24.6,28.5
2024-07-07T10:00,24.4,44,11.4,21.7,0,0.00,900.0,6,24140.00,24.8,31.8
2024-07-07T11:00,25.8,42,12.0,23.8,0,0.00,899.8,22,24140.00,26.3,34.4
2024-07-07T12:00,27.5,37,11.5,25.6,0,0.00,900.2,48,24140.00,26.9,36.5
2024-07-07T13:00,28.4,35,11.5,26.7,0,0.00,900.0,28,24140.00,26.1,37.5
2024-07-07T14:00,29.4,32,11.0,27.6,0,0.00,899.5,9,24140.00,26.2,38.5
2024-07-07T15:00,30.5,29,10.5,28.4,0,0.00,899.3,70,24140.00,25.8,37.5
2024-07-07T16:00,30.5,29,10.5,27.6,0,0.00,899.2,12,24140.00,26.1,35.9
2024-07-07T17:00,30.6,29,10.5,27.2,0,0.00,898.6,27,24140.00,25.4,34.2
2024-07-07T18:00,30.2,27,9.2,26.8,0,0.00,898.7,14,24140.00,21.7,32.0
2024-07-07T19:00,29.4,29,9.5,26.4,0,0.00,898.7,0,24140.00,19.7,28.8
2024-07-07T20:00,28.2,32,10.0,26.2,0,0.00,898.7,0,24140.00,13.7,25.9
2024-07-07T21:00,26.4,35,9.7,25.3,0,0.00,898.5,0,24140.00,7.2,23.7
2024-07-07T22:00,25.1,39,10.2,24.1,0,0.00,898.4,7,24140.00,7.6,22.7
2024-07-07T23:00,24.9,39,10.0,23.1,0,0.00,898.6,0,24140.00,13.0,23.0
2024-07-08T00:00,25.0,44,11.9,23.2,0,0.00,898.8,15,24140.00,16.8,23.8
2024-07-08T01:00,23.9,51,13.1,22.7,0,0.00,899.3,0,24140.00,14.9,22.6
2024-07-08T02:00,22.7,56,13.5,22.0,0,0.00,899.3,0,24140.00,12.4,21.4
2024-07-08T03:00,21.9,59,13.5,20.9,0,0.00,899.0,0,24140.00,14.5,20.9
2024-07-08T04:00,21.1,62,13.5,20.0,0,0.00,898.5,0,24140.00,15.5,20.3
2024-07-08T05:00,20.3,66,13.8,19.5,0,0.00,898.4,0,24140.00,14.1,19.6
2024-07-08T06:00,19.7,68,13.7,19.1,0,0.00,898.8,9,24140.00,12.4,19.3
2024-07-08T07:00,20.6,64,13.6,19.7,0,0.00,899.5,19,24140.00,14.3,22.3
2024-07-08T08:00,21.9,59,13.5,20.1,0,0.00,899.9,26,24140.00,20.0,25.8
2024-07-08T09:00,23.4,54,13.6,21.6,0,0.00,899.9,58,24140.00,20.3,29.4
2024-07-08T10:00,24.6,49,13.2,22.4,0,0.00,899.8,70,24140.00,22.7,29.7
2024-07-08T11:00,25.9,44,12.8,23.6,0,0.00,899.9,58,24140.00,23.5,32.1
2024-07-08T12:00,27.5,40,12.7,26.1,0,0.00,899.9,25,24140.00,23.1,35.2
2024-07-08T13:00,28.5,37,12.4,27.2,0,0.00,900.0,45,24140.00,24.7,37.8
2024-07-08T14:00,29.7,34,12.2,28.9,0,0.00,899.9,37,24140.00,22.6,38.8
2024-07-08T15:00,31.3,31,12.2,30.9,0,0.00,899.2,12,24140.00,19.1,40.2
2024-07-08T16:00,32.0,29,11.7,30.7,0,0.00,898.8,7,24140.00,20.0,38.5
2024-07-08T17:00,32.1,27,10.7,29.6,0,0.00,898.1,0,24140.00,20.9,36.0
2024-07-08T18:00,31.3,28,10.6,28.7,0,0.00,898.2,0,24140.00,19.3,32.7
2024-07-08T19:00,30.5,29,10.5,28.2,0,0.00,898.4,0,24140.00,16.9,29.8
2024-07-08T20:00,29.0,32,10.7,27.6,0,0.00,898.5,0,24140.00,11.2,26.5
2024-07-08T21:00,27.4,35,10.6,26.5,0,0.00,898.3,0,24140.00,7.2,24.5
2024-07-08T22:00,26.0,39,11.0,25.2,0,0.00,898.0,0,24140.00,7.5,23.4
2024-07-08T23:00,25.3,42,11.5,24.6,0,0.00,897.8,0,24140.00,7.5,22.9
2024-07-09T00:00,25.0,43,11.6,24.2,0,0.00,898.0,15,24140.00,9.0,22.8
2024-07-09T01:00,24.4,45,11.7,23.4,0,0.00,898.5,26,24140.00,10.5,22.8
2024-07-09T02:00,24.0,49,12.6,23.1,0,0.00,898.7,0,24140.00,11.5,22.4
2024-07-09T03:00,23.6,54,13.8,23.2,0,0.00,898.3,1,24140.00,11.3,22.2
2024-07-09T04:00,23.1,56,13.8,22.7,0,0.00,898.2,48,24140.00,11.2,21.8
2024-07-09T05:00,22.7,58,14.0,22.5,0,0.00,898.3,62,24140.00,10.8,21.7
2024-07-09T06:00,22.1,54,12.4,21.4,0,0.00,898.8,46,24140.00,10.1,21.1
2024-07-09T07:00,22.7,53,12.7,22.0,0,0.00,899.2,3,24140.00,10.5,23.5
2024-07-09T08:00,23.8,47,11.8,21.6,0,0.00,900.0,0,24140.00,19.5,27.1
2024-07-09T09:00,24.9,44,11.8,22.8,0,0.00,900.3,0,24140.00,18.7,30.6
2024-07-09T10:00,26.1,44,12.9,24.8,0,0.00,900.6,8,24140.00,18.6,34.1
2024-07-09T11:00,27.6,39,12.4,26.7,0,0.00,900.2,56,24140.00,19.5,36.4
2024-07-09T12:00,28.4,36,11.9,27.3,0,0.00,900.3,59,24140.00,18.8,37.7
2024-07-09T13:00,29.4,34,11.9,28.7,0,0.00,899.9,61,24140.00,18.5,38.1
2024-07-09T14:00,30.3,32,11.8,29.7,0,0.00,900.2,77,24140.00,18.4,39.9
2024-07-09T15:00,30.9,31,11.8,29.7,0,0.00,898.9,48,24140.00,15.8,37.4
2024-07-09T16:00,31.2,30,11.6,29.8,0,0.00,898.8,33,24140.00,16.1,37.9
2024-07-09T17:00,31.2,30,11.6,29.7,0,0.00,898.3,22,24140.00,14.2,35.9
2024-07-09T18:00,31.0,30,11.4,29.1,0,0.00,898.4,38,24140.00,16.0,32.8
2024-07-09T19:00,30.2,31,11.2,28.5,0,0.00,898.3,28,24140.00,14.7,29.8
2024-07-09T20:00,28.8,34,11.4,27.5,0,0.00,898.3,18,24140.00,11.8,26.7
